res_id,distr_id,name,city,latitude,longitude,zipcode,address,res_id_1,distr_id_1,name_1,city_1,latitude_1,longitude_1,zipcode_1,address_1
2808,60000249,Trupti Farsan,Mumbai,19.115211,72.907717,(blank),"Shop 1, A Wing, Cypress CHS, Central Ave, Hiranandani Gardens, Powai, Mumbai",49744,60000249,Trupti Farsan,Mumbai,19.115211,72.907717,(blank),"Shop 1, A Wing, Cypress CHS, Central Ave, Hiranandani Gardens, Powai, Mumbai"
2809,60000249,Burger King,Mumbai,19.17392593,72.86057141,(blank),"3rd Floor, Food Court, Oberoi Mall, Film City Road, Goregaon East, Mumbai",49781,60000249,Burger King,Mumbai,19.17392593,72.86057141,(blank),"3rd Floor, Food Court, Oberoi Mall, Film City Road, Goregaon East, Mumbai"
2810,60000249,E.A.S.T - Sahara Star,Mumbai,19.09463788,72.85448782,400099,"Hotel Sahara Star, Opposite Domestic Airport, Vile Parle East, Mumbai",49807,60000249,E.A.S.T - Sahara Star,Mumbai,19.09463788,72.85448782,400099,"Hotel Sahara Star, Opposite Domestic Airport, Vile Parle East, Mumbai"
2811,60000249,O22 Bar Lounge - Trident,Mumbai,19.0671849,72.86748279,(blank),"Trident Hotel, C 56, G Block,   Bandra Kurla Complex, Bandra Kurla Complex, Mumbai",49812,60000249,O22 Bar Lounge - Trident,Mumbai,19.0671849,72.86748279,(blank),"Trident Hotel, C 56, G Block,   Bandra Kurla Complex, Bandra Kurla Complex, Mumbai"
2812,60000249,Revival Restaurant,Mumbai,18.95463385,72.81478878109999,400007,"39-B, Chowpatty Seaface, Chowpatty, Mumbai",49846,60000249,Revival Restaurant,Mumbai,18.95463385,72.81478878109999,400007,"39-B, Chowpatty Seaface, Chowpatty, Mumbai"
2813,60000249,Mitran Da Dhaba,Mumbai,19.15422237,72.93771777,(blank),"Lal Bahadur Shastri Road, SPS Industrial Estate, Bhandup West, Near Shangrilla Bus Stop, Bhandup, Mumbai",49855,60000249,Mitran Da Dhaba,Mumbai,19.15422237,72.93771777,(blank),"Lal Bahadur Shastri Road, SPS Industrial Estate, Bhandup West, Near Shangrilla Bus Stop, Bhandup, Mumbai"
2814,60000249,Hotel Sai Siddhi,Navi Mumbai,19.065146068900003,73.01017094,(blank),"Sanpada Railway Station, Sanpada, Navi Mumbai",49946,60000249,Hotel Sai Siddhi,Navi Mumbai,19.065146068900003,73.01017094,(blank),"Sanpada Railway Station, Sanpada, Navi Mumbai"
2815,60000249,12th Main - Grand Mercure,Bangalore,12.928962009600001,77.62701441,0,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",50004,60000249,12th Main - Grand Mercure,Bangalore,12.928962009600001,77.62701441,0,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore"
2816,60000249,Amma's Pastries,Bangalore,13.02076954,77.62871124,0,"111/B, Ground Floor, 1st Main, 1st Stage, 1st Block, HBR Layout, Bangalore",50019,60000249,Amma's Pastries,Bangalore,13.02076954,77.62871124,0,"111/B, Ground Floor, 1st Main, 1st Stage, 1st Block, HBR Layout, Bangalore"
2817,60000249,Amma's Pastries,Bangalore,13.02654932,77.59330239149999,0,"10,HMT Main Road, RT Nagar, Bangalore",50020,60000249,Amma's Pastries,Bangalore,13.02654932,77.59330239149999,0,"10,HMT Main Road, RT Nagar, Bangalore"
